,Subscriber Id_x,seasoning_3month_sp+mp,seasoning_3month_sp+mp.1,seasoning_3month_sp+mp.2,seasoning_3month_sp+mp.3
75,7aec5063-b453-4814-8379-4506c16cabaa,2,0.10073569,0.88715464,0.012109596
76,4263d19c-d25e-4c28-b0a2-c18751cc6525,2,0.0634943,0.9246593,0.011846389
77,a9873ffc-15f7-4593-b679-5c67f017e2fb,2,0.06902952,0.91271156,0.018258866
78,0059449a-fbd5-4060-86e0-fd07c1337038,2,0.062163867,0.92646,0.011376161
79,07c9817a-01df-4c5a-a7bd-d6b5527f2a73,2,0.076720454,0.9092853,0.013994314
80,a9873ffc-15f7-4593-b679-5c67f017e2fb,2,0.06875754,0.9129463,0.018296158
81,7aec5063-b453-4814-8379-4506c16cabaa,2,0.10081705,0.88702935,0.01215353
82,3d58fc13-6bcb-489d-8025-0289be9b5faf,1,0.8936949,0.09385542,0.012449624
83,ddc65067-60c3-4744-836e-1a4b0726caa4,1,0.87007725,0.116385624,0.013537036
84,3d58fc13-6bcb-489d-8025-0289be9b5faf,1,0.8936949,0.09385542,0.012449624
85,3debdf5b-c961-46db-be52-0c36d68c7ca7,0,0.3711077,0.6086942,0.020198045
86,57c0cbf2-6af0-4e5e-ad0a-9541d308d0ec,0,0.43527517,0.544019,0.020705841
87,6b34f447-d760-4737-865c-f230507dccdd,0,0.3494203,0.6290701,0.021509597
88,ddc65067-60c3-4744-836e-1a4b0726caa4,1,0.86996484,0.11648451,0.013550662
89,ddc65067-60c3-4744-836e-1a4b0726caa4,1,0.87007725,0.116385624,0.013537036
90,21763480-83c6-4512-8381-1a8cb6bfed99,1,0.67258024,0.30822474,0.019195026
91,084a998a-fc8f-4342-98db-102034375f06,1,0.86733973,0.12005773,0.012602519
92,084a998a-fc8f-4342-98db-102034375f06,1,0.86822766,0.119239494,0.012532816
93,d06f84e8-58f7-4abf-81ca-ecf61ce8e010,1,0.8274921,0.15703584,0.015471991
94,d06f84e8-58f7-4abf-81ca-ecf61ce8e010,1,0.82766235,0.15691963,0.015417988
95,21763480-83c6-4512-8381-1a8cb6bfed99,1,0.67258024,0.30822474,0.019195026
96,24ccb031-4fe1-4d08-92a9-9f0a8dd2c330,0,0.30171394,0.6795383,0.018747734
97,ff116802-6ef0-48a6-b17b-0d270c4bb44d,1,0.6644038,0.31738701,0.018209202
98,51243639-886f-4639-a0ce-67a09bce5a33,0,0.14311048,0.8223928,0.03449674
99,7d13ba5c-0353-4034-af9c-1c56f3899a0f,0,0.12885648,0.8466487,0.024494825
100,4f5cc24a-3ee3-41bf-91ab-217208949b15,0,0.23777379,0.73676956,0.025456559
101,8b46d63f-128c-43c4-8419-1d5c2014fbac,0,0.38154045,0.59849495,0.01996464
102,961e1e41-3f38-4c12-b33a-a626d11173ea,0,0.16421118,0.81913495,0.016653897
103,961e1e41-3f38-4c12-b33a-a626d11173ea,0,0.16389772,0.81946945,0.016632773
